1/28/2016,19:28:00,Robbery No Firearm,1100 S 45TH ST,-75.21141315,39.94776068
2/1/2016,13:13:00,Robbery No Firearm,900 N BROAD ST,-75.15941199,39.97136186
2/10/2016,8:19:00,Robbery No Firearm,N 18TH ST / CECIL B MOORE AV,-75.1642746,39.9795275
1/25/2016,8:25:00,Robbery No Firearm,1600 N BROAD ST,-75.15828562,39.97733954
1/30/2016,14:07:00,Robbery Firearm,4000 MARKET ST,-75.20262232,39.95719868
1/28/2016,20:05:00,Robbery Firearm,2200 SEPVIVA ST,-75.12827118,39.97968907
1/30/2016,5:20:00,Robbery Firearm,2200 S 63RD ST,-75.23173915,39.92736827
2/7/2016,16:43:00,Robbery No Firearm,3900 WALNUT ST,-75.2018695,39.95407373
2/5/2016,12:19:00,Robbery Firearm,LANSING ST / ERDRICK ST,-75.03092099,40.03881347
1/22/2016,20:12:00,Robbery Firearm,7100 TABOR AVE,-75.08291083,40.05693345
1/25/2016,8:58:00,Robbery Firearm,4000 BALTIMORE AVE,-75.20349398,39.9498899
1/25/2016,9:32:00,Robbery Firearm,3800 WOODLAND WALK,-75.19954619,39.95032297
1/25/2016,22:46:00,Robbery Firearm,2600 PICKWICK ST,-75.09292234,39.99118236
2/3/2016,21:10:00,Robbery Firearm,7200 TORRESDALE AVE,-75.03602385,40.02972956
2/5/2016,1:15:00,Robbery Firearm,N 26TH ST / W CAMBRIA ST,-75.17328521,39.99952581
2/3/2016,14:45:00,Robbery No Firearm,6600 ELMWOOD AVE,-75.23154947,39.92129616
2/7/2016,3:34:00,Robbery No Firearm,7500 FRANKFORD AV,-75.03596108,40.03861319
2/8/2016,15:50:00,Robbery No Firearm,1900 PARRISH ST,-75.16800068,39.96993899
2/8/2016,18:58:00,Robbery No Firearm,6400 DICKS AV,-75.2263037,39.92067182
2/17/2016,2:32:00,Robbery No Firearm,3400 COTTMAN AVE,-75.04310395,40.03799999
2/11/2016,21:51:00,Robbery Firearm,1200 N BROAD ST,-75.15949164,39.97151091
2/4/2016,23:21:00,Robbery No Firearm,700 WATKINS ST,-75.15764588,39.92745908
2/16/2016,12:49:00,Robbery Firearm,5300 GREENWAY AVE,-75.21914895,39.93815606
2/14/2016,11:36:00,Robbery No Firearm,100 S BROAD ST,-75.16396722,39.95009971
1/26/2016,7:03:00,Robbery No Firearm,2700 54TH DR,-75.2160422,39.93278572
1/23/2016,17:11:00,Robbery Firearm,6400 BUIST AVE,-75.22776896,39.92190456
2/13/2016,9:33:00,Robbery Firearm,900 WALNUT ST,-75.15587649,39.94826136
2/17/2016,1:49:00,Robbery Firearm,2200 GREENWICH ST,-75.18131227,39.93291156
1/25/2016,16:37:00,Robbery Firearm,1700 POINT BREEZE AV,-75.18279488,39.93110741
1/31/2016,20:30:00,Robbery Firearm,2500 SPRING GARDEN ST,-75.18109987,39.96418788
1/27/2016,16:16:00,Robbery No Firearm,2300 GERRITT ST,-75.18422985,39.93456111
1/27/2016,16:41:00,Robbery No Firearm,7200 CASTOR AVE,-75.06790128,40.04940351
1/29/2016,9:22:00,Robbery No Firearm,2600 S 66TH ST,-75.22890675,39.91915488
1/30/2016,10:17:00,Robbery No Firearm,6500 GRAYS AV,-75.23173336,39.92332932
2/2/2016,12:41:00,Robbery No Firearm,2700 E LEHIGH AV,-75.11432055,39.97799197
2/2/2016,21:27:00,Robbery No Firearm,1600 CECIL B MOORE AV,-75.16268702,39.97926327
2/4/2016,12:23:00,Robbery No Firearm,6100 WOODLAND AVE,-75.22990381,39.92864338
2/5/2016,16:07:00,Robbery No Firearm,1900 COTTMAN AVE,-75.06770864,40.05209223
2/11/2016,23:57:00,Robbery No Firearm,200 S JUNIPER ST,-75.16320802,39.94862158
2/6/2016,3:48:00,Robbery No Firearm,7500 COTTAGE ST,-75.03365197,40.03549124
1/23/2016,22:14:00,Robbery No Firearm,BUSTLETON AV / PHILMONT AV,-75.01236057,40.13169007
1/22/2016,23:09:00,Robbery Firearm,2900 N STILLMAN ST 2,-75.17217341,39.99943859
1/31/2016,13:55:00,Robbery Firearm,4700 SANSOM ST,-75.21554324,39.95646498
1/23/2016,23:29:00,Robbery Firearm,G ST / E TIOGA ST,-75.11446812,40.00137896
1/31/2016,21:02:00,Robbery Firearm,4700 MARPLE ST,-75.02955487,40.03276272
